account_id,owner_name,registration_date,country,is_suspicious,suspicious_type,suspicious_role
10000000,周丽,2020-02-21,法国,False,,
10000001,彩虹信息有限公司,2020-10-12,美国,False,,
10000002,陈浩,2020-06-27,韩国,False,,
10000003,新宇龙信息科技有限公司,2020-07-10,德国,False,,
10000004,时空盒数字传媒有限公司,2020-02-24,德国,False,,
10000005,龚鑫,2022-05-09,德国,False,,
10000006,张秀梅,2021-07-23,中国,False,,
10000007,陆欣,2020-11-22,韩国,False,,
10000008,黄旭,2020-11-14,德国,False,,
10000009,韦琳,2021-11-20,美国,False,,
10000010,联软传媒有限公司,2020-07-17,日本,False,,
10000011,彭华,2021-06-25,中国,False,,
10000012,刘兵,2020-09-12,韩国,False,,
10000013,维旺明信息有限公司,2021-08-23,日本,False,,
10000014,邓雪梅,2020-05-22,中国,False,,
10000015,刘敏,2021-08-15,美国,False,,
10000016,王燕,2020-07-25,韩国,False,,
10000017,华远软件网络有限公司,2022-01-17,英国,False,,
10000018,温琳,2021-03-05,法国,False,,
10000019,杨萍,2020-05-26,英国,False,,
10000020,马龙,2021-05-16,英国,False,,
10000021,李桂荣,2021-07-06,德国,False,,
10000022,刘桂珍,2020-04-24,德国,False,,
10000023,楼伟,2021-10-08,韩国,False,,
10000024,富罳传媒有限公司,2021-03-08,日本,False,,
10000025,联软传媒有限公司,2022-10-19,韩国,False,,
10000026,龙利,2022-07-28,英国,False,,
10000027,鑫博腾飞传媒有限公司,2021-05-20,法国,False,,
10000028,曹凤英,2022-05-27,韩国,False,,
10000029,李莉,2020-10-10,新加坡,False,,
10000030,华成育卓科技有限公司,2020-04-06,美国,False,,
10000031,浦华众城传媒有限公司,2020-11-23,韩国,False,,
10000032,范波,2022-02-27,韩国,False,,
10000033,朱敏,2022-08-16,法国,False,,
10000034,刘娟,2020-01-24,美国,False,,
10000035,张刚,2021-06-30,日本,False,,
10000036,良诺传媒有限公司,2022-06-09,英国,False,,
10000037,韩秀荣,2021-06-23,英国,False,,
10000038,章静,2020-08-05,法国,False,,
10000039,李刚,2022-11-05,德国,False,,
10000040,商软冠联传媒有限公司,2020-11-26,中国,False,,
10000041,陈晨,2022-09-27,中国,False,,
10000042,凌云信息有限公司,2022-01-13,法国,False,,
10000043,惠派国际公司传媒有限公司,2021-05-08,美国,False,,
10000044,时空盒数字传媒有限公司,2022-09-22,美国,False,,
10000045,许秀珍,2022-12-26,英国,False,,
10000046,戴硕电子科技有限公司,2022-08-31,英国,False,,
10000047,数字100网络有限公司,2022-05-16,德国,False,,
10000048,唐超,2021-02-15,法国,False,,
10000049,吴想,2022-02-03,新加坡,False,,
10000050,张静,2022-07-13,美国,False,,
10000051,通际名联网络有限公司,2020-05-11,日本,False,,
10000052,济南亿次元信息有限公司,2021-04-16,德国,False,,
10000053,联通时科信息有限公司,2020-04-30,德国,False,,
10000054,国讯传媒有限公司,2020-03-05,日本,False,,
10000055,良诺信息有限公司,2021-05-02,法国,False,,
10000056,何勇,2021-03-14,英国,False,,
10000057,刘婷婷,2022-08-26,德国,False,,
10000058,杨志强,2022-04-13,德国,False,,
10000059,网新恒天信息有限公司,2022-06-01,日本,False,,
10000060,朱瑜,2022-08-14,中国,False,,
10000061,成梅,2020-07-20,中国,False,,
10000062,李雪梅,2021-11-25,美国,False,,
10000063,立信电子传媒有限公司,2021-01-24,新加坡,False,,
10000064,巨奥网络有限公司,2021-01-10,法国,False,,
10000065,赵淑兰,2020-06-03,新加坡,False,,
10000066,刘想,2020-07-19,中国,False,,
10000067,廖建平,2020-01-31,美国,False,,
10000068,刘洁,2021-04-29,英国,False,,
10000069,徐玉珍,2022-09-12,德国,False,,
10000070,周成,2020-12-03,德国,True,循环闭环交易_1,洗钱者
10000071,泰麒麟科技有限公司,2022-03-10,英国,True,循环闭环交易_1,协助者
10000072,段桂英,2022-07-20,英国,True,循环闭环交易_1,协助者
10000073,任杰,2022-09-23,美国,True,循环闭环交易_1,协助者
10000074,杨桂花,2020-04-29,法国,True,循环闭环交易_2,洗钱者
10000075,郁阳,2020-05-04,英国,True,循环闭环交易_2,协助者
10000076,雨林木风计算机科技有限公司,2022-09-03,法国,True,循环闭环交易_2,协助者
10000077,兰金电子传媒有限公司,2022-11-06,中国,True,循环闭环交易_3,洗钱者
10000078,周萍,2020-05-20,法国,True,循环闭环交易_3,协助者
10000079,凌颖信息传媒有限公司,2021-04-26,德国,True,循环闭环交易_3,协助者
10000080,惠派国际公司科技有限公司,2021-05-19,法国,True,星型拆分入账_1,洗钱者
10000081,彩虹传媒有限公司,2020-06-16,德国,True,星型拆分入账_1,协助者
10000082,殷玉华,2022-12-06,英国,True,星型拆分入账_1,协助者
10000083,魏淑英,2021-02-22,英国,True,星型拆分入账_1,协助者
10000084,石坤,2022-03-21,美国,True,星型拆分入账_1,协助者
10000085,谢瑞,2021-09-06,德国,True,星型拆分入账_1,协助者
10000086,张鹏,2020-05-28,中国,True,星型拆分入账_1,协助者
10000087,金坤,2020-07-23,中国,True,星型拆分入账_1,协助者
10000088,徐楠,2022-11-02,英国,True,星型拆分入账_2,洗钱者
10000089,汪伟,2020-05-20,美国,True,星型拆分入账_2,协助者
10000090,崔莉,2020-11-19,德国,True,星型拆分入账_2,协助者
10000091,赵桂兰,2021-09-11,法国,True,星型拆分入账_2,协助者
10000092,鞠伟,2022-12-19,中国,True,星型拆分入账_2,协助者
10000093,侯婷婷,2021-09-05,中国,True,星型拆分入账_2,协助者
10000094,黄桂香,2020-10-02,英国,True,星型拆分入账_3,洗钱者
10000095,王冬梅,2020-11-14,英国,True,星型拆分入账_3,协助者
10000096,曹莉,2021-03-07,英国,True,星型拆分入账_3,协助者
10000097,吴宁,2021-06-24,法国,True,星型拆分入账_3,协助者
10000098,刘玉梅,2020-04-14,中国,True,星型拆分入账_3,协助者
10000099,熊玉梅,2021-07-20,中国,True,星型拆分入账_3,协助者
10000100,图龙信息科技有限公司,2020-09-24,高危国3,True,跨境多层转账_1,洗钱者
10000101,王莉,2020-11-26,德国,True,跨境多层转账_1,协助者
10000102,萧淑珍,2020-01-20,中国,True,跨境多层转账_1,协助者
10000103,凌颖信息网络有限公司,2020-11-01,中国,True,跨境多层转账_1,协助者
10000104,毛畅,2020-10-30,德国,True,跨境多层转账_1,协助者
10000105,雨林木风计算机信息有限公司,2021-09-23,英国,True,跨境多层转账_1,协助者
10000106,沈军,2020-03-22,高危国2,True,跨境多层转账_2,洗钱者
10000107,思优传媒有限公司,2021-05-26,中国,True,跨境多层转账_2,协助者
10000108,张丹丹,2022-04-12,美国,True,跨境多层转账_2,协助者
10000109,雍秀兰,2021-04-29,美国,True,跨境多层转账_2,协助者
10000110,鲁秀珍,2020-12-28,德国,True,跨境多层转账_2,协助者
10000111,快讯信息有限公司,2021-11-11,高危国2,True,跨境多层转账_3,洗钱者
10000112,刘春梅,2021-05-23,英国,True,跨境多层转账_3,协助者
10000113,张红梅,2020-08-09,德国,True,跨境多层转账_3,协助者
10000114,张琳,2022-08-21,美国,True,跨境多层转账_3,协助者
